epoch,lr,loss,acc,val_loss,val_acc
0.0,0.1,1.7240102375659745,44.577319587628864,1.392430585861206,52.2
1.0,0.1,1.1871448349461113,64.0,0.9353061580657959,71.3
2.0,0.1,0.9416524224920371,71.21649484536083,0.8142843346595764,74.8
3.0,0.1,0.8247415914977949,75.03092783505154,0.7981471059322357,74.6
4.0,0.1,0.7477759035592226,76.88659793814433,0.7099841392040253,77.0
5.0,0.1,0.6846887934330812,79.09278350515464,0.6912657352685928,77.3
6.0,0.1,0.6285907969278158,80.78350515463917,0.6722535203695297,77.1
7.0,0.1,0.5759154520329741,82.5979381443299,0.6837048192024231,77.2
8.0,0.1,0.5278935918119765,84.37113402061856,0.7065611386299133,76.6
9.0,0.1,0.481167508548068,86.02061855670104,0.7059554555416108,76.7
10.0,0.1,0.4346748271676683,88.08247422680412,0.7033739776611329,77.9
11.0,0.1,0.39116457128033194,89.56701030927834,0.7252768434286118,77.5
12.0,0.1,0.34678884921614656,91.52577319587628,0.7488090388774872,77.2
13.0,0.1,0.30553558398767844,92.70103092783505,0.77960486805439,76.0
14.0,0.1,0.26363439446872045,94.78350515463917,0.7866864234209061,76.6
